Museum,Website,City,State,Zip Code,General Admission,Senior,Student,Children
Hyde Collection,hydecollection.org,Glens Falls,New York,12801,$12.00 ,,,
Heckscher Museum of Art,heckscher.org,Huntington,New York,11743,$10.00 ,,,
Herbert F. Johnson Museum of Art,museum.cornell.edu,Ithaca,New York,14853,$0.00 ,,,
Storm King Art Center,stormking.org,Mountainville,New York,12553,$20.00 ,,,
Guggenheim,guggenheim.org,New York,New York,10128,$25.00 ,,,
Metropolitan Museum of Art,metmuseum.org,New York,New York,10028,$25.00 ,,,
Museum of Modern Art (MoMA),moma.org,New York,New York,10019,$25.00 ,,,
Whitney Museum of American Art,whitney.org,New York,New York,10014,$25.00 ,,,
Brooklyn Museum,brooklynmuseum.org,New York,New York,11238,$16.00 ,,,
Frick Collection,frick.org,New York,New York,10021,$25.00 ,,,
The Morgan Library & Museum,themorgan.org,New York,New York,10016,$22.00 ,,,
The Cloisters,metmuseum.org/visit/met-cloisters,New York,New York,10040,$25.00 ,,,
Dahesh Museum of Art,daheshmuseum.org,New York,New York,10017,$10.00 ,,,
Asia Society,asiasociety.org,New York,New York,10021,$12.00 ,,,
Neue Galerie New York,neuegalerie.org,New York,New York,10128,$25.00 ,,,
Hispanic Society of America,hispanicsociety.org,New York,New York,10032,$0.00 ,,,
Museum of the City of New York,mcny.org,New York,New York,10029,$23.00 ,,,
Cooper-Hewitt Museum,cooperhewitt.org,New York,New York,10128,$16.00 ,,,
New Museum of Contemporary Art,newmuseum.org,New York,New York,10002,$18.00 ,,,
Rubin Museum of Art,rubinmuseum.org,New York,New York,10011,$19.50 ,,,
P.S.1 Contemporary Art Center,momaps1.org,New York,New York,11101,$10.00 ,,,
Jacques Marchais Museum of Tibetan Art,tibetanmuseum.org,New York,New York,10306,$10.00 ,,,
Dia Chelsea,diaart.org/visit/visit-our-locations-sites/dia-chelsea-new-york-united-states,New York,New York,10011,$0.00 ,,,
Wallach Art Gallery,wallach.columbia.edu,New York,New York,10027,$0.00 ,,,
Frances Lehman Loeb Art Center,fllac.vassar.edu,Poughkeepsie,New York,12604,$0.00 ,,,
Memorial Art Gallery,mag.rochester.edu,Rochester,New York,14607,$15.00 ,,,
Parrish Art Museum,parrishart.org,Southampton,New York,11976,$15.00 ,,,
